n,N,serial_ms,openmp_ms,cuda_naive_ms,cuda_tiled_ms,max_abs_diff
8,384,0.359,8.161,0.468,0.411,1.526e-05
16,1536,0.838,0.966,0.436,0.449,0.000e+00
24,3456,2.631,1.814,0.446,0.441,1.526e-05
32,6144,4.687,3.673,0.454,0.449,1.526e-05
48,13824,10.692,6.886,0.592,0.584,0.000e+00
64,24576,17.208,11.708,0.776,0.731,1.526e-05
96,55296,36.763,25.911,1.438,1.606,1.526e-05
128,98304,55.381,46.300,2.186,2.463,0.000e+00
192,221184,111.506,95.722,4.357,5.030,0.000e+00
256,393216,209.516,176.692,7.240,8.357,1.526e-05
384,884736,467.702,381.932,15.794,18.429,1.526e-05
512,1572864,837.504,679.737,27.513,32.080,0.000e+00
